cost_ratio,threshold,loss,FN,FP
5.0,0.11,0.6127696839423613,6,7667
5.0,0.12,0.6099036700899609,10,7611
5.0,0.13,0.6061619297826606,16,7534
5.0,0.14,0.6037735849056604,24,7464
5.0,0.15,0.6047289228564605,43,7381
5.0,0.16,0.6037735849056604,59,7289
5.0,0.17,0.6025794124671603,74,7199
5.0,0.18,0.6027386354589602,89,7126
5.0,0.19,0.6009871825491601,101,7044
5.0,0.2,0.59931534113526,114,6958
5.0,0.21,0.5973250537377597,124,6883
5.0,0.22,0.5966085502746596,137,6809
5.0,0.23,0.5943794283894595,147,6731
5.0,0.24,0.5929464214632593,161,6643
5.0,0.25,0.5935037019345594,181,6550
5.0,0.26,0.590080407610859,187,6477
5.0,0.27,0.5904784650903591,204,6397
5.0,0.28,0.5863386673035587,214,6295
5.0,0.29,0.5817212005413581,224,6187
5.0,0.3,0.5763076188201577,233,6074
5.0,0.31,0.5721678210333572,243,5972
5.0,0.32,0.5702571451317571,256,5883
5.0,0.33,0.570655202611257,274,5798
5.0,0.34,0.570575591115357,292,5707
5.0,0.35,0.5739988854390574,321,5605
5.0,0.36,0.5743969429185575,342,5505
5.0,0.37,0.5759095613406576,366,5404
5.0,0.38,0.5786959636971579,397,5284
5.0,0.39,0.5841095454183584,436,5157
5.0,0.4,0.5865775017912587,467,5033
5.0,0.41,0.5940609824058594,513,4897
5.0,0.42,0.6005891250696601,560,4744
5.0,0.43,0.6166706472414617,627,4611
5.0,0.44,0.6313191624870631,697,4445
5.0,0.45,0.6442958363187644,764,4273
5.0,0.46,0.6581482366053658,836,4087
5.0,0.47,0.6717618024042672,901,3933
5.0,0.48,0.6924607913382692,991,3743
5.0,0.49,0.7148316216861715,1084,3559
5.0,0.5,0.739113127935674,1192,3324
5.0,0.51,0.7687286044104769,1307,3121
5.0,0.52,0.8020062096966802,1425,2949
5.0,0.53,0.8292333412944829,1531,2761
5.0,0.54,0.8582915372979858,1639,2586
5.0,0.55,0.8956293288750896,1770,2400
5.0,0.56,0.9310564445505931,1893,2230
5.0,0.57,0.9668020062096967,2021,2039
5.0,0.58,1.0075630921105008,2159,1861
5.0,0.59,1.0441843802245043,2285,1691
5.0,0.6,1.0878910914736089,2426,1535
5.0,0.61,1.1321550831940133,2566,1391
5.0,0.62,1.1770559668816176,2708,1245
5.0,0.63,1.2217976275774223,2851,1092
5.0,0.64,1.269803359605127,2997,965
5.0,0.65,1.3248149032720324,3157,856
5.0,0.66,1.370113844439137,3294,740
5.0,0.67,1.4156516200939415,3427,647
5.0,0.68,1.460711726773346,3558,558
5.0,0.69,1.4912825411989492,3654,462
5.0,0.7,1.5363426478783537,3782,388
5.0,0.71,1.5750338348857575,3896,304
5.0,0.72,1.6022609664835603,3978,236
5.0,0.73,1.629567709577263,4058,179
5.0,0.74,1.6591831860520658,4143,126
5.0,0.75,1.6843404187564683,4213,92
5.0,0.76,1.7022530053339702,4263,67
5.0,0.77,1.7159461826287716,4302,44
5.0,0.78,1.7228723827720722,4322,31
5.0,0.79,1.730435474882573,4344,16
5.0,0.8,1.7357694451078736,4359,8
5.0,0.81,1.7394315739192738,4369,4
5.0,0.82,1.7432529257224743,4379,2
5.0,0.83,1.7444470981609745,4382,2
5.0,0.84,1.7459597165830747,4386,1
5.0,0.85,1.7470742775256747,4389,0
5.0,0.86,1.7478703924846748,4391,0
5.0,0.87,1.7482684499641747,4392,0
5.0,0.88,1.7482684499641747,4392,0
5.0,0.89,1.748666507443675,4393,0
5.0,0.9,1.748666507443675,4393,0
5.0,0.91,1.748666507443675,4393,0
5.0,0.92,1.748666507443675,4393,0
5.0,0.93,1.748666507443675,4393,0
5.0,0.94,1.748666507443675,4393,0
5.0,0.95,1.748666507443675,4393,0
10.0,0.05,0.6477987421383647,0,8137
10.0,0.06,0.6445346708064644,0,8096
10.0,0.07,0.638961866093464,0,8026
10.0,0.08,0.630682270519863,0,7922
10.0,0.09,0.6243133508478624,2,7822
10.0,0.1,0.6192182151102619,4,7738
10.0,0.11,0.6151580288193615,6,7667
10.0,0.12,0.6138842448849614,10,7611
10.0,0.13,0.6125308494546613,16,7534
10.0,0.14,0.6133269644136613,24,7464
10.0,0.15,0.6218453944749622,43,7381
10.0,0.16,0.6272589761961628,59,7289
10.0,0.17,0.6320356659501633,74,7199
10.0,0.18,0.6381657511344638,89,7126
10.0,0.19,0.6411909879786641,101,7044
10.0,0.2,0.6446938937982645,114,6958
10.0,0.21,0.6466841811957647,124,6883
10.0,0.22,0.6511424249661651,137,6809
10.0,0.23,0.6528938778759653,147,6731
10.0,0.24,0.6570336756627657,161,6643
10.0,0.25,0.6655521057240665,181,6550
10.0,0.26,0.6645171562773664,187,6477
10.0,0.27,0.6716821909083671,204,6397
10.0,0.28,0.6715229679165672,214,6295
10.0,0.29,0.6708860759493671,224,6187
10.0,0.3,0.6690550115436669,233,6074
10.0,0.31,0.6688957885518669,243,5972
10.0,0.32,0.6721598598837673,256,5883
10.0,0.33,0.679722951994268,274,5798
10.0,0.34,0.6868083751293687,292,5707
10.0,0.35,0.7017753363585701,321,5605
10.0,0.36,0.7105326009075711,342,5505
10.0,0.37,0.7215985988376722,366,5404
10.0,0.38,0.7367247830586737,397,5284
10.0,0.39,0.7576626064803758,436,5157
10.0,0.4,0.7724703447177772,467,5033
10.0,0.41,0.7982644693893798,513,4897
10.0,0.42,0.8235013135896824,560,4744
10.0,0.43,0.8662526868879866,627,4611
10.0,0.44,0.9087652256985909,697,4445
10.0,0.45,0.9484117506567948,764,4273
10.0,0.46,0.9909242894673991,836,4087
10.0,0.47,1.030411591433803,901,3933
10.0,0.48,1.0869357535228088,991,3743
10.0,0.49,1.1463259294642147,1084,3559
10.0,0.5,1.2135976434997213,1192,3324
10.0,0.51,1.288989730117029,1307,3121
10.0,0.52,1.369238117984237,1425,2949
10.0,0.53,1.438659342409044,1531,2761
10.0,0.54,1.510707746198551,1639,2586
10.0,0.55,1.60019106759016,1770,2400
10.0,0.56,1.6845792532441684,1893,2230
10.0,0.57,1.7712761722792771,2021,2039
10.0,0.58,1.8669691903510868,2159,1861
10.0,0.59,1.9537457208820954,2285,1691
10.0,0.6,2.0535785367407056,2426,1535
10.0,0.61,2.1535705755911154,2566,1391
10.0,0.62,2.2549956213677254,2708,1245
10.0,0.63,2.3566595016320355,2851,1092
10.0,0.64,2.462781625666746,2997,965
10.0,0.65,2.5814823660536583,3157,856
10.0,0.66,2.681315181912268,3294,740
10.0,0.67,2.779794602340578,3427,647
10.0,0.68,2.8770002388344875,3558,558
10.0,0.69,2.9457845712920947,3654,462
10.0,0.7,3.041796035347504,3782,388
10.0,0.71,3.1258657750179126,3896,304
10.0,0.72,3.1857336199347186,3978,236
10.0,0.73,3.2448849613884243,4058,179
10.0,0.74,3.3083353236207307,4143,126
10.0,0.75,3.361356579890136,4213,92
10.0,0.76,3.39917204044264,4263,67
10.0,0.77,3.428389459437943,4302,44
10.0,0.78,3.4432768091712442,4322,31
10.0,0.79,3.459597165830746,4344,16
10.0,0.8,3.470901998248547,4359,8
10.0,0.81,3.478544701854948,4369,4
10.0,0.82,3.486346628453149,4379,2
10.0,0.83,3.488734973330149,4382,2
10.0,0.84,3.4918398216702493,4386,1
10.0,0.85,3.4941485550513494,4389,0
10.0,0.86,3.4957407849693496,4391,0
10.0,0.87,3.4965368999283495,4392,0
10.0,0.88,3.4965368999283495,4392,0
10.0,0.89,3.49733301488735,4393,0
10.0,0.9,3.49733301488735,4393,0
10.0,0.91,3.49733301488735,4393,0
10.0,0.92,3.49733301488735,4393,0
10.0,0.93,3.49733301488735,4393,0
10.0,0.94,3.49733301488735,4393,0
10.0,0.95,3.49733301488735,4393,0
